A4D250	A4D250
P49903	Q99611
P04216	P04216
Q9Y6D0	Q9Y6D0
Q5DID0	Q5DID0
A8MPS7	A8MPS7
Q6UXR8	Q6UXR8
O95905	O95905
P26358	P26358
Q6UXV0	Q6UXV0
Q8NFU4	Q8NFU4
Q9P2D6	Q9P2D6
Q9P2D6	Q49AJ0
Q7RTX7	Q7RTX7
Q7RTX7	Q96P56
Q7RTX7	Q8NEC5
Q7RTX7	Q86XQ3
Q7RTX7	Q9ULQ1
Q7RTX7	O00555
Q7RTX7	Q13698
Q7RTX7	Q01668
Q7RTX7	Q15878
Q7RTX7	Q13936
Q7RTX7	O60840
Q7RTX7	Q00975
Q7RTX7	Q8IZF0
Q7RTX7	O43497
Q7RTX7	Q9P0X4
Q7RTX7	O95180
Q7RTX7	Q9UI33
Q7RTX7	Q14524
Q7RTX7	Q99250
Q7RTX7	Q15858
Q7RTX7	Q01118
Q7RTX7	Q9UQD0
Q7RTX7	Q9Y5Y9
Q7RTX7	P35499
Q7RTX7	P35498
Q7RTX7	Q9NY46
Q7RTX7	Q8NHX9
Q9NXP7	Q9NXP7
Q93074	Q93074
Q93074	Q86YW9
Q6P1K1	Q6P1K1
Q9BY32	Q9BY32
Q8WWI1	Q8WWI1
Q8WWI1	Q9UPQ0
O75586	O75586
O95402	O95402
Q9NTJ4	Q9NTJ4
Q9NTJ4	Q9Y2E5
Q9NTJ4	Q16706
Q9NTJ4	P49641
Q9NTJ4	O00754
Q9BY89	Q9BY89
Q9H204	Q9H204
Q92820	Q92820
P32321	P32321
P32321	Q9BWV3
Q9NWV4	Q9NWV4
O43909	O43909
O43909	Q16394
O43909	Q93063
O43909	Q92935
O43909	Q9UBQ6
Q96FN9	Q96FN9
Q8N6I1	Q8N6I1
Q8N6I1	Q96D98
Q8N6I1	Q9Y6B2
O60832	O60832
Q9ULE4	Q9ULE4
Q9ULE4	Q8NB25
Q9ULE4	Q14789
Q6ZTU2	Q6ZTU2
Q6ZTU2	Q96L91
Q16610	Q16610
Q5BKY9	Q5BKY9
Q5BKY9	Q8N9E0
Q9NZC3	Q9NZC3
Q9NZC3	Q9HCC8
Q9NZC3	Q6W3E5
Q9NZC3	Q8WTR4
P58513	P58513
Q9BQP7	Q9BQP7
A8MVS5	A8MVS5
Q52LA3	Q52LA3
Q5VZR4	Q5VZR4
Q5VZR4	Q96MC6
Q5VZR4	Q5SR56
Q15053	Q15053
O94854	O94854
Q14643	Q14643
Q14643	Q14571
Q14643	Q14573
Q9NRV9	Q9NRV9
Q9NRV9	Q9Y5Z4
B2CW77	B2CW77
Q9H944	Q9H944
Q99871	Q99871
P27352	P27352
P27352	P20061
P27352	P20062
Q96M32	Q96M32
Q96M32	Q9C005
Q9H7X2	Q9H7X2
O43572	O43572
Q96JB2	Q96JB2
Q5K130	Q5K130
Q6ZVE7	Q6ZVE7
Q6ZVE7	Q9Y3E0
O60269	O60269
O60269	Q6ZVF9
O60269	Q7Z2K8
O00399	O00399
O15371	O15371
P01040	P01040
P01040	P04080
Q3T8J9	Q3T8J9
Q3T8J9	Q9H869
Q96CH1	Q96CH1
Q7RTS9	Q7RTS9
Q7RTS9	Q8IV36
Q15054	Q15054
Q9UBU6	Q9UBU6
Q9H6Z9	Q9H6Z9
Q9H6Z9	Q9GZT9
Q9H6Z9	Q96KS0
Q8TE02	Q8TE02
Q8N2G8	Q8N2G8
Q9UKA1	Q9UKA1
Q9UKA1	Q8NCQ5
Q9UKA1	Q9UKC9
Q9UKA1	Q96IG2
Q9UKA1	Q8IX29
Q9UKA1	Q008S8
Q9UJ94	Q9UJ94
O95424	O95424
P19256	P19256
Q9UK76	Q9UK76
Q9UK76	Q9H910
P42704	P42704
P42704	O75127
Q99685	Q99685
Q99685	Q9Y570
P0C7T4	P0C7T4
Q9UNZ5	Q9UNZ5
Q96MB7	Q96MB7
Q6ICG6	Q6ICG6
Q9BRT6	Q9BRT6
Q9HAW0	Q9HAW0
Q15834	Q15834
Q15834	Q96PX6
Q15834	A6NKD9
Q03188	Q03188
Q96NH3	Q96NH3
Q8N9H6	Q8N9H6
A2RU37	A2RU37
Q569G3	Q569G3
Q9Y375	Q9Y375
Q15021	Q15021
Q8WW43	Q8WW43
Q8WW43	Q96BI3
P25063	P25063
Q5VTU8	Q5VTU8
Q5VTU8	P56381
Q9UFW8	Q9UFW8
O95622	O95622
O95622	O43306
O95622	P51828
O95622	Q08462
O95622	Q08828
O95622	P40145
O95622	O60503
O95622	Q8NFM4
O95622	O60266
O95622	P20594
O95622	P16066
O95622	O75343
O95622	Q02108
O95622	P33402
O95622	Q02153
O95622	P25092
O95622	Q02846
O95622	P51841
O95622	P17342
P19801	P19801
P19801	O75106
P19801	Q16853
Q9NPJ3	Q9NPJ3
Q8N7U6	Q8N7U6
Q9UJW0	Q9UJW0
Q9NPA0	Q9NPA0
P57678	P57678
P84090	P84090
Q96BZ8	Q96BZ8
Q15334	Q15334
Q15334	Q6P1M3
Q15334	Q5T5C0
Q15334	Q9Y2K9
Q14165	Q14165
Q5XKP0	Q5XKP0
Q9H3L0	Q9H3L0
Q96S06	Q96S06
Q96S06	Q9BU23
O94927	O94927
Q01954	Q01954
Q01954	Q6ZN30
Q15078	Q15078
Q15078	Q13319
Q8N4J0	Q8N4J0
A0A1B0GVG4	A0A1B0GVG4
P23508	P23508
P23508	Q8N6Y0
A2RUQ5	A2RUQ5
Q6NSX1	Q6NSX1
P57730	P57730
P57730	P29466
P57730	P49662
P57730	P51878
P57730	Q6UXS9
P57730	Q5XLA6
P57730	Q5EG05
Q15847	Q15847
P15391	P15391
Q16740	Q16740
Q8WVX3	Q8WVX3
A6NHY6	A6NHY6
Q8WXJ9	Q8WXJ9
P04424	P04424
P67870	P67870
Q9NQS1	Q9NQS1
Q9UJX6	Q9UJX6
P54802	P54802
Q7Z5L3	Q7Z5L3
Q7Z5L3	Q86Z23
Q7Z5L3	O75973
Q7Z5L3	Q5VWW1
Q7Z5L3	P27658
Q7Z5L3	Q5TAT6
Q7Z5L3	P20849
Q7Z5L3	P0C862
Q7Z5L3	B2RNN3
Q7Z5L3	P25067
Q7Z5L3	Q03692
Q7Z5L3	P02746
Q7Z5L3	P02747
Q7Z5L3	Q14055
Q7Z5L3	A6NHN0
Q7Z5L3	Q9P2R6
Q7Z5L3	P54259
Q7Z5L3	Q96CG8
Q7Z5L3	Q9BXX0
Q7Z5L3	Q10571
Q7Z5L3	Q9NT22
Q7Z5L3	Q96A84
Q7Z5L3	Q9H8L6
Q7Z5L3	Q96A83
Q7Z5L3	Q13201
Q7Z5L3	Q9Y6C2
Q7Z5L3	Q9BXJ5
Q7Z5L3	Q9BXJ2
Q7Z5L3	Q9BXJ0
Q7Z5L3	Q14050
Q7Z5L3	P02745
Q7Z5L3	Q9BXJ3
Q7Z5L3	Q9BXJ1
Q7Z5L3	P60827
Q7Z5L3	Q9BXI9
Q7Z5L3	Q15848
Q9Y679	Q9Y679
Q7Z6V5	Q7Z6V5
P45381	P45381
P45381	Q96HD9
Q96SE0	Q96SE0
Q96SE0	Q8WU67
Q96SE0	Q6UXT9
Q96SE0	P08910
Q8N0Z2	Q8N0Z2
Q96CM8	Q96CM8
Q96CM8	Q9H6R3
Q96CM8	Q9NR19
Q96CM8	Q9NUB1
Q96CM8	Q4G176
Q96CM8	Q86V21
Q96CM8	Q6P461
Q96CM8	Q53FZ2
Q96CM8	Q08AH3
Q96CM8	Q6NUN0
Q96CM8	Q68CK6
Q96CM8	Q08AH1
Q96CM8	P0C7M7
Q96CM8	O14975
Q96CM8	Q9Y2P5
Q96CM8	Q5K4L6
Q96CM8	Q9Y2P4
Q96CM8	Q6P1M0
Q96CM8	Q6PCB7
Q96CM8	O60488
Q96CM8	O95573
Q96CM8	Q9ULC5
Q96CM8	P33121
Q96CM8	Q9UKU0
Q96CM8	Q5FVE4
Q96CM8	Q96GR2
O75953	O75953
O75953	Q7Z6W7
O75953	P25686
O75953	Q8WWF6
O75953	Q8NHS0
O75953	Q9UDY4
O75953	O75190
O75953	P25685
O75953	Q9UBS3
O75953	Q96KC8
O75953	P59910
O75953	Q9H3Z4
O75953	Q9UF47
O75953	P31689
O75953	Q8WW22
O75953	O60884
O75953	Q6P3W2
O75953	Q9NXW2
O75953	Q9H819
O75953	Q8TBM8
O75953	Q9Y2G8
O75953	Q96LL9
O75953	Q9NVH1
O75953	Q99615
O75953	Q8N7S2
O75953	Q13217
O75953	Q5F1R6
O75953	Q9UBS4
O75953	Q8WXX5
O75953	Q9NX36
O75953	Q8N4W6
O75953	Q9H1X3
O75953	Q96EY1
O75953	Q9NNZ3
O75953	Q99543
Q7L5Y1	Q7L5Y1
P10070	P10070
P10070	P10071
P10070	P08151
P10070	O75362
P10070	Q8NBF1
P10070	Q8NEA6
P10070	Q9UL36
Q8IVK1	Q8IVK1
O75844	O75844
Q8IWI9	Q8IWI9
Q3ZCV2	Q3ZCV2
A1A4G5	A1A4G5
O75031	O75031
Q7Z4H7	Q7Z4H7
Q9NRP2	Q9NRP2
A0A1B0GVQ3	A0A1B0GVQ3
Q107X0	Q107X0
Q96CS2	Q96CS2
Q7Z3E2	Q7Z3E2
Q8WV48	Q8WV48
Q96GS4	Q96GS4
Q8WXS4	Q8WXS4
Q9H6X5	Q9H6X5
Q96SZ5	Q96SZ5
P02655	P02655
Q5T4I8	Q5T4I8
Q5T4I8	Q9NX07
P35611	P35611
P35611	Q9UEY8
P35611	P35612
P45954	P45954
P45954	Q9UKU7
P45954	P11310
P45954	P26440
P45954	Q9H845
P45954	P49748
P45954	Q92947
P45954	P28330
P45954	Q709F0
P45954	Q6JQN1
P45954	P16219
Q6DHV7	Q6DHV7
Q6DHV7	P00813
Q6DHV7	Q9NZK5
Q9H1M3	Q9H1M3
Q9UL01	Q9UL01
Q9UL01	Q8IZU8
O60762	O60762
O60762	Q9Y673
Q969F0	Q969F0
Q9NPI6	Q9NPI6
Q9NPI6	Q8IZD4
P48507	P48507
P51810	P51810
A6NEN9	A6NEN9
P59022	P59022
Q9NTU4	Q9NTU4
Q9NPF5	Q9NPF5
Q6NUT3	Q6NUT3
Q9H8X2	Q9H8X2
Q9BUE0	Q9BUE0
P01579	P01579
Q14CX5	Q14CX5
Q86YV9	Q86YV9
Q86SI9	Q86SI9
Q5SY13	Q5SY13
Q92624	Q92624
Q8TBR5	Q8TBR5
Q9Y6R9	Q9Y6R9
Q9H246	Q9H246
Q8TCG1	Q8TCG1
Q4G0S7	Q4G0S7
Q5VW36	Q5VW36
P43897	P43897
Q9H0X4	Q9H0X4
Q9H0X4	A2RU67
Q3B7J2	Q3B7J2
Q3B7J2	Q9NXC2
Q6GMR7	Q6GMR7
Q6GMR7	O00519
Q9Y315	Q9Y315
P02751	P02751
P02751	Q5VTL7
P02751	Q12913
P02751	P43378
P02751	Q05209
P02751	O14522
P02751	P28827
P02751	Q16849
P02751	P08575
P02751	Q92932
P02751	Q16825
P02751	Q15678
P02751	Q16827
P02751	P23469
P02751	P18433
P02751	Q9Y2R2
P02751	P26045
P02751	P29074
P02751	Q4JDL3
P02751	Q92729
P02751	Q15262
P02751	Q9H3S7
P02751	Q99952
P02751	Q15256
P02751	P54829
P02751	P35236
P02751	Q16473
P04406	P04406
P04406	O14556
P14854	P14854
P14854	Q6YFQ2
Q9BVA6	Q9BVA6
Q96A26	Q96A26
Q96A26	Q5T6X4
Q7Z7B8	Q7Z7B8
Q7Z7B8	Q9H1M4
Q9Y2E4	Q9Y2E4
Q9Y2E4	Q9P265
Q9Y2E4	Q14689
P0DPP9	P0DPP9
P0DPP9	A0A1B0GVM5
P0DPP9	Q3ZM63
Q8TE68	Q8TE68
Q8TE68	Q9H6S3
Q8TE68	Q12929
Q8TE68	Q8TE67
Q6P5X5	Q6P5X5
Q16134	Q16134
Q9NWA0	Q9NWA0
Q86W50	Q86W50
Q9P086	Q9P086
Q96ES6	Q96ES6
Q96ES6	O00400
Q9H7H0	Q9H7H0
Q8TBQ9	Q8TBQ9
Q8TBQ9	Q9NRX6
P53990	P53990
Q8NHM5	Q8NHM5
Q8NHM5	Q9Y2K7
Q8NHM5	Q9UPP1
Q8NHM5	Q6ZMT4
Q8NHM5	O75151
Q8NHM5	Q6PCT2
Q8NHM5	Q13309
Q8NHM5	Q9NXK8
Q8NHM5	Q9UJT9
Q5W064	Q5W064
Q5W064	P38571
Q5W064	Q5VYY2
Q5W064	Q5VXJ0
Q5W064	P07098
Q5W064	Q5VXI9
Q13601	Q13601
Q8N4P3	Q8N4P3
O14880	O14880
C9J3I9	C9J3I9
P0DO97	P0DO97
Q96MU5	Q96MU5
Q13098	Q13098
P47755	P47755
P47755	P52907
P47755	Q96KX2
Q8N3J3	Q8N3J3
Q5VUE5	Q5VUE5
Q9NVV2	Q9NVV2
B1AMM8	B1AMM8
Q13956	Q13956
Q13956	P18545
Q9BQI4	Q9BQI4
Q9H4R4	Q9H4R4
Q96MW5	Q96MW5
O60519	O60519
Q07973	Q07973
Q07973	Q02318
Q07973	Q4G0S4
Q07973	P05108
Q07973	O15528
Q07973	P19099
Q07973	P15538
Q07973	Q96SQ9
Q07973	P20813
Q07973	P05093
Q07973	P05181
Q07973	P33261
Q07973	P11712
Q07973	P33260
Q07973	Q16696
Q07973	P20853
Q07973	P11509
Q07973	P24903
Q07973	P10632
Q07973	Q7Z449
Q07973	Q6VVX0
Q07973	Q16678
Q07973	Q6ZSU1
Q07973	Q16850
Q07973	P08686
Q07973	Q8TAV3
Q07973	P10635
Q07973	A0A087X1C5
Q07973	P51589
Q07973	P11511
Q07973	P04798
Q07973	P05177
Q07973	Q6ZWL3
Q07973	Q9Y6A2
Q07973	Q6NT55
Q07973	Q8N118
Q07973	P78329
Q07973	Q9HBI6
Q07973	Q9HCS2
Q07973	P98187
Q07973	Q08477
Q07973	P13584
Q07973	Q8N1L4
Q07973	Q86W10
Q07973	Q02928
Q07973	Q5TCH4
Q07973	P24462
Q07973	Q9HB55
Q07973	P20815
Q07973	P08684
Q07973	P24557
Q07973	Q9NYL5
Q07973	O43174
Q07973	Q9NR63
Q07973	Q6V0L0
O14519	O14519
O14519	O75956
Q6ZTR5	Q6ZTR5
C9JSJ3	C9JSJ3
Q6NUI1	Q6NUI1
Q6NUI1	Q3MJ40
Q6NUI1	Q8IYA2
Q6NUI1	A2RUR9
Q8N104	Q8N104
O95677	O95677
O95677	O00167
O95677	Q99502
O95677	Q99504
Q9BZG8	Q9BZG8
Q9BZG8	Q9BQC3
Q92990	Q92990
Q8N9W5	Q8N9W5
Q8NEX9	Q8NEX9
Q8NEX9	O14756
Q8NEX9	O75452
Q8NEX9	Q9BPW9
Q8NEX9	Q92781
Q8NEX9	Q02338
Q8NEX9	P80365
Q8NEX9	P37059
Q9H0I2	Q9H0I2
O60941	O60941
O60941	Q9Y4J8
O60941	P11532
O60941	Q13474
O60941	O43707
O60941	Q08043
O60941	P12814
O60941	P35609
O60941	P46939
O60941	A2CJ06
Q8NA03	Q8NA03
O60234	O60234
O60234	P60983
Q4LDR2	Q4LDR2
Q4LDR2	P0C2S0
Q4LDR2	P60606
Q13158	Q13158
Q7Z7A3	Q7Z7A3
Q3V5L5	Q3V5L5
P13716	P13716
Q13442	Q13442
A6NK58	A6NK58
Q5T8R8	Q5T8R8
Q9BYV8	Q9BYV8
Q9HCJ1	Q9HCJ1
P53567	P53567
P53567	P49716
P53567	P49715
P53567	Q15744
P53567	P17676
P62952	P62952
Q8N815	Q8N815
Q9UPN4	Q9UPN4
Q9H9A5	Q9H9A5
Q3SY05	Q3SY05
P23560	P23560
P23560	P34130
P23560	P01138
P23560	P20783
C9JXX5	C9JXX5
O43505	O43505
Q8NHS4	Q8NHS4
F7VJQ1	F7VJQ1
P04156	P04156
Q99622	Q99622
Q15007	Q15007
Q99766	Q99766
Q9Y6A4	Q9Y6A4
Q6DCA0	Q6DCA0
Q6DCA0	Q9Y4X0
Q6PD74	Q6PD74
Q96AP0	Q96AP0
Q9NUJ1	Q9NUJ1
P00488	P00488
P00488	P16452
P00488	Q08188
P00488	P49221
P00488	O43548
P00488	Q96PF1
P00488	P21980
P00488	O95932
P00488	P22735
O95073	O95073
Q9H4A5	Q9H4A5
Q9H4A5	Q9H4A6
P01588	P01588
P09681	P09681
P09681	P01275
Q15049	Q15049
Q9NP55	Q9NP55
Q9NP55	Q9BQP9
Q9NP55	Q8TDL5
Q8WZB0	Q8WZB0
Q9C0C6	Q9C0C6
Q8N5R6	Q8N5R6
Q8N9P6	Q8N9P6
H3BN30	H3BN30
Q99627	Q99627
Q96KP4	Q96KP4
Q96KP4	Q96KN2
Q96KP4	Q6GTS8
Q13790	Q13790
Q8N556	Q8N556
Q8N556	Q8TED9
Q8N556	Q8N4X5
O75071	O75071
Q6Y2X3	Q6Y2X3
P60002	P60002
Q5JWR5	Q5JWR5
Q5JWR5	Q9Y3R5
Q9BRR8	Q9BRR8
Q9H0R6	Q9H0R6
Q717R9	Q717R9
Q8N1N2	Q8N1N2
A1XBS5	A1XBS5
A1XBS5	Q6ZTR7
Q6X9E4	Q6X9E4
Q8WWB3	Q8WWB3
Q8WWB3	Q96IM9
Q9UM22	Q9UM22
Q6P995	Q6P995
Q6P995	Q5VUB5
Q6P995	A8MVW0
Q8IXT1	Q8IXT1
Q9H840	Q9H840
Q9Y450	Q9Y450
Q9Y450	P15170
Q9Y450	Q8IYD1
Q9Y450	P68104
Q9Y450	Q05639
Q9Y450	Q5VTE0
Q9Y450	P49411
Q9Y450	P13639
Q9Y450	Q15029
Q9Y450	Q8N442
Q9Y450	Q7Z2Z2
Q9Y450	Q969S9
Q9Y450	Q96RP9
Q9Y450	Q2VIR3
Q9Y450	P41091
Q9Y450	Q9BX10
Q9Y450	O00178
Q9HC24	Q9HC24
Q9HC24	Q9BWQ8
Q9HC24	Q7Z429
Q9HC24	Q969X1
Q5HYA8	Q5HYA8
Q9Y5X9	Q9Y5X9
Q9Y5X9	P06858
Q9Y5X9	P54317
Q9Y5X9	P54315
Q9Y5X9	P16233
Q9Y5X9	P11150
Q9Y5X9	Q8WWY8
Q9Y5X9	Q53H76
Q9Y5X9	Q17RR3
Q9Y5X9	Q6XZB0
Q75N03	Q75N03
Q75N03	Q8N7E2
Q16719	Q16719
Q8IYA7	Q8IYA7
Q8IYA7	P78415
Q8IYA7	P78414
Q8IYA7	Q9BZI1
Q8IYA7	P78411
Q8IYA7	P78412
Q8IYA7	P78413
Q8IYA7	P55347
Q8IYA7	Q96KN3
Q8IYA7	Q8IUE0
Q8IYA7	Q8IUE1
Q8IYA7	O14770
Q8IYA7	O00470
Q8IYA7	A6NDR6
Q8IYA7	A8K0S8
Q8IYA7	Q99687
Q8IYA7	P40426
Q8IYA7	P40424
Q8IYA7	Q9BYU1
Q8IYA7	P40425
Q8IYA7	Q9GZN2
Q8IYA7	Q15583
Q8IUR6	Q8IUR6
Q9UKZ1	Q9UKZ1
Q8N0X4	Q8N0X4
Q9NP61	Q9NP61
Q9NP61	Q8N6H7
Q9NP61	Q8N6T3
Q9NP61	Q8WU79
Q9NP61	Q8IYB5
Q5SNV9	Q5SNV9
Q86VU5	Q86VU5
Q86VU5	P21964
Q86VU5	Q8WZ04
Q9UL15	Q9UL15
Q9UL15	O95429
Q96IL0	Q96IL0
Q8IXR9	Q8IXR9
Q9NWB6	Q9NWB6
Q9H3J6	Q9H3J6
Q96MD2	Q96MD2
Q9H5F2	Q9H5F2
P0C853	P0C853
Q32Q52	Q32Q52
Q8IXP5	Q8IXP5
Q8NBR9	Q8NBR9
Q96KA5	Q96KA5
Q96KA5	O96005
B7Z1M9	B7Z1M9
B7Z1M9	Q8TF44
B7Z1M9	A6NLJ0
B7Z1M9	Q8NCU7
Q96N11	Q96N11
Q9GZU0	Q9GZU0
Q9H7B7	Q9H7B7
Q8TDX5	Q8TDX5
Q9UEE9	Q9UEE9
P17735	P17735
P17735	P24298
P17735	Q8TD30
P17735	Q16773
P17735	Q6YP21
Q86WX3	Q86WX3
Q9NPZ5	Q9NPZ5
Q9NPZ5	Q9P2W7
Q9NPZ5	O94766
Q3T906	Q3T906
Q96A65	Q96A65
Q8N0V5	Q8N0V5
Q8N0V5	O95395
Q8N0V5	Q9P109
Q8N0V5	Q6ZNI0
Q8N0V5	Q02742
Q8N0V5	Q9H1B5
Q8N0V5	Q86Y38
P06729	P06729
Q9UBI1	Q9UBI1
Q32M84	Q32M84
O95400	O95400
Q86Z20	Q86Z20
Q14CZ0	Q14CZ0
Q7Z591	Q7Z591
Q7Z591	Q5T1N1
Q2NKX9	Q2NKX9
P42081	P42081
P42081	P33681
P42081	Q96ID5
Q8N4L8	Q8N4L8
Q9UKY7	Q9UKY7
Q9Y2V2	Q9Y2V2
Q9Y2V2	Q9Y534
P06307	P06307
Q8N4C0	Q8N4C0
Q9HBJ8	Q9HBJ8
Q63ZY6	Q63ZY6
Q63ZY6	Q96P11
Q63ZY6	Q3KNT7
Q63ZY6	Q8TEA1
Q63ZY6	Q9H649
Q63ZY6	P46087
Q63ZY6	Q08J23
Q63ZY6	Q96CB9
Q13724	Q13724
Q3B726	Q3B726
Q9NQ50	Q9NQ50
Q9HD33	Q9HD33
O75575	O75575
P18621	P18621
Q86YD1	Q86YD1
Q86YD1	Q71SY5
P50914	P50914
O60613	O60613
A6NGE7	A6NGE7
A8MT70	A8MT70
Q96EY4	Q96EY4
Q9BVV6	Q9BVV6
Q7Z3B0	Q7Z3B0
Q86TL2	Q86TL2
P62851	P62851
A8MT33	A8MT33
A8MT33	Q8N0S2
P29353	P29353
P29353	Q92529
P29353	Q6S5L8
P29353	P98077
P29353	Q9BRG2
P29353	Q9NRF2
P29353	O14492
P29353	Q9UQQ2
P29353	Q14451
P29353	Q14449
P29353	Q13322
P29353	O75815
P29353	Q8N5H7
P29353	Q7Z5R6
P29353	Q70E73
P29353	A6NKC9
P29353	Q5SQS7
P29353	Q96JZ2
P29353	Q9H788
P29353	O14508
P29353	Q9NSE2
P29353	O14543
P29353	O15524
P29353	Q8WXH5
P29353	O75159
P29353	O14544
P29353	O14512
P29353	Q96IW2
P29353	Q5VZ18
P29353	Q7M4L6
P29353	Q15464
P29353	Q9NP31
P0DP57	P0DP57
P0DP57	Q8IV16
P0DP57	O94772
Q96AN5	Q96AN5
O75391	O75391
Q8WWF3	Q8WWF3
Q9H7C4	Q9H7C4
Q96IK0	Q96IK0
A8K0R7	A8K0R7
Q96AJ9	Q96AJ9
Q8N806	Q8N806
Q9BRG1	Q9BRG1
Q86VM9	Q86VM9
Q9UPT8	Q9UPT8
Q9UPT8	Q92576
Q9UPT8	Q86WR7
Q9UPT8	O95104
Q9UPT8	Q9UPN6
Q92574	Q92574
Q9Y2F5	Q9Y2F5
Q3LI81	Q3LI81
Q659C4	Q659C4
Q659C4	Q6PKG0
Q659C4	Q9BRS8
Q659C4	Q71RC2
Q659C4	Q92615
P81277	P81277
Q96IZ0	Q96IZ0
A6NDB9	A6NDB9
P15428	P15428
P15428	Q9BUT1
P15428	O75828
P15428	P16152
P15428	Q9BPX1
P15428	Q8IZV5
P15428	Q7Z5P4
P15428	Q8NBQ5
P15428	O75911
P15428	Q8N3Y7
P15428	Q6PKH6
P15428	Q9BTZ2
P15428	P0CG22
P15428	Q13268
P15428	Q9BY49
P15428	Q92506
P15428	Q6UWP2
P15428	P37058
P15428	Q53GQ0
P15428	Q3SXM5
P15428	Q8N4T8
P15428	Q99714
P15428	Q9NUI1
P15428	Q16698
Q8NBZ9	Q8NBZ9
P60321	P60321
P60321	P60323
P60321	Q8WY41
P36871	P36871
P36871	Q15124
Q9NXH3	Q9NXH3
Q9NXH3	Q96C90
Q9NXH3	Q8TAE6
Q9NXH3	Q96A00
Q9Y2G5	Q9Y2G5
O95139	O95139
Q99460	Q99460
Q8N2H4	Q8N2H4
P14678	P14678
P14678	P63162
P14678	O95777
Q9BYN0	Q9BYN0
Q8NBT3	Q8NBT3
Q0P140	Q0P140
Q13336	Q13336
Q13336	Q15849
Q6UW78	Q6UW78
Q8IUA0	Q8IUA0
Q8IUA0	P10646
Q8IUA0	Q96NZ8
Q8IUA0	Q8TEU8
Q8IUA0	O43291
Q8IUA0	Q06481
Q8IUA0	P05067
Q8IUA0	P02760
Q8IUA0	P48307
Q8IUA0	P49223
Q8IUA0	O43278
Q8IUA0	Q9BQY6
Q8IUA0	O95925
Q8IUA0	Q8IUB2
Q8IUA0	P23352
Q8IUA0	Q8WWY7
Q8IUA0	P03973
Q8IUA0	P19957
Q8IUA0	Q9HC57
Q8IUA0	Q6UDR6
Q8IUA0	Q8TCV5
H0YL09	H0YL09
H0YL09	Q8WVN8
H0YL09	Q7Z7E8
O76024	O76024
Q6PJT7	Q6PJT7
Q92575	Q92575
Q9H871	Q9H871
Q9H871	Q96G75
Q9H871	Q7L5Y9
P22102	P22102
P62841	P62841
Q96KF7	Q96KF7
Q96MK2	Q96MK2
Q96MK2	Q6ZS17
Q96MK2	Q9Y4F9
O00411	O00411
O95707	O95707
Q6BDI9	Q6BDI9
A1A4F0	A1A4F0
A1A4F0	Q6ZP29
Q8NI27	Q8NI27
Q969W0	Q969W0
Q969W0	Q8NFR3
P09683	P09683
Q5VZI3	Q5VZI3
A0A1B0GTI8	A0A1B0GTI8
O43247	O43247
Q96B77	Q96B77
Q9HAT2	Q9HAT2
Q5VZQ5	Q5VZQ5
Q5T292	Q5T292
Q9BVN2	Q9BVN2
Q9BVN2	Q8N2Y8
Q8NEW7	Q8NEW7
Q9BQE4	Q9BQE4
Q8IXX5	Q8IXX5
Q8IXX5	Q1AE95
Q9H299	Q9H299
Q9H299	Q9UJC5
Q9H299	O75368
Q9H299	P55822
Q5BJF2	Q5BJF2
Q8WWA1	Q8WWA1
P57088	P57088
W5XKT8	W5XKT8
O95391	O95391
Q96DN5	Q96DN5
Q69YW2	Q69YW2
P0DPE8	P0DPE8
P0DPE8	A8MWV9
Q9BXW3	Q9BXW3
Q96L08	Q96L08
Q8NG68	Q8NG68
Q8NG68	Q9BWV7
Q8NG68	Q14679
Q8NG68	Q3SXZ7
Q8NG68	Q9Y4R7
Q8NG68	A6PVC2
Q8NG68	A6NNM8
Q8NG68	Q8N841
Q8NG68	O95922
Q8NG68	Q6ZVT0
Q8NG68	Q8NHH1
Q8NG68	Q6EMB2
Q8NG68	Q6ZT98
Q8N3R3	Q8N3R3
P62314	P62314
P62314	P62318
Q8N8I0	Q8N8I0
Q8N8I0	Q9BYL1
Q8NB15	Q8NB15
Q5VIR6	Q5VIR6
P09936	P09936
P09936	P15374
P09936	Q9Y5K5
P09936	Q92560
Q8WXG1	Q8WXG1
Q08629	Q08629
Q08629	Q92563
Q08629	P04233
Q08629	Q9BQ16
Q08629	Q9H4F8
Q08629	Q9H3U7
Q08629	P16422
Q08629	P09758
Q08629	P09486
Q08629	Q14515
Q5T1C6	Q5T1C6
Q5T1C6	Q8N1Q8
O14746	O14746
Q9NX61	Q9NX61
Q9NX61	Q8NDZ6
Q9H147	Q9H147
Q9P0V3	Q9P0V3
Q9P0V3	Q6ZN28
Q92797	Q92797
Q96I99	Q96I99
Q96I99	Q9P2R7
Q86XR7	Q86XR7
Q86XR7	Q8IUC6
Q9Y6G1	Q9Y6G1
Q9Y6G1	Q9NUH8
Q9Y6G1	A8MWL7
Q9Y6G1	Q9P0S9
Q9Y6G1	Q6UXP3
Q9UNK0	Q9UNK0
Q9HC07	Q9HC07
Q9Y2G9	Q9Y2G9
Q9Y2G9	A3KN83
Q96ER3	Q96ER3
E5RIL1	E5RIL1
E5RIL1	B0FP48
E5RIL1	Q9BT76
P12956	P12956
Q9Y2B5	Q9Y2B5
Q9HBG4	Q9HBG4
Q9HBG4	Q93050
Q9HBG4	Q13488
Q9HBG4	Q9Y487
